id,uri,sigla,nome,apelido,codTipoOrgao,tipoOrgao,nomePublicacao,nomeResumido,idEventoContexto,data_captura
2001,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/2001,CAPADR,"COMISSÃO DE AGRICULTURA, PECUÁRIA, ABASTECIMENTO E DESENVOLVIMENTO RURAL","AGRICULTURA, PECUÁRIA, ABASTECIMENTO E DESENVOLVIMENTO RURAL",2,COMISSÃO PERMANENTE,"COMISSÃO DE AGRICULTURA, PECUÁRIA, ABASTECIMENTO E DESENVOLVIMENTO RURAL",AGROPECUÁRIA,81927,2026-06-03 08:38:48
2001,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/2001,CAPADR,"COMISSÃO DE AGRICULTURA, PECUÁRIA, ABASTECIMENTO E DESENVOLVIMENTO RURAL","AGRICULTURA, PECUÁRIA, ABASTECIMENTO E DESENVOLVIMENTO RURAL",2,COMISSÃO PERMANENTE,"COMISSÃO DE AGRICULTURA, PECUÁRIA, ABASTECIMENTO E DESENVOLVIMENTO RURAL",AGROPECUÁRIA,81936,2026-06-03 08:38:48
5503,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/5503,CSPCCO,COMISSÃO DE SEGURANÇA PÚBLICA E COMBATE AO CRIME ORGANIZADO,SEGURANÇA PÚBLICA E COMBATE AO CRIME ORGANIZADO,2,COMISSÃO PERMANENTE,COMISSÃO DE SEGURANÇA PÚBLICA E COMBATE AO CRIME ORGANIZADO,SEGURANÇA PÚBLICA,82114,2026-06-03 08:38:48
2011,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/2011,CFFC,COMISSÃO DE FISCALIZAÇÃO FINANCEIRA E CONTROLE,FISCALIZAÇÃO FINANCEIRA E CONTROLE,2,COMISSÃO PERMANENTE,COMISSÃO DE FISCALIZAÇÃO FINANCEIRA E CONTROLE,FISCALIZAÇÃO FINANCEIRA,81567,2026-06-03 08:38:48
180,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/180,PLEN,PLENÁRIO,PLENÁRIO,26,PLENÁRIO VIRTUAL,PLENÁRIO,PLENÁRIO,81587,2026-06-03 08:38:48
2004,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/2004,CDC,COMISSÃO DE DEFESA DO CONSUMIDOR,DEFESA DO CONSUMIDOR,2,COMISSÃO PERMANENTE,COMISSÃO DE DEFESA DO CONSUMIDOR,CONSUMIDOR,81838,2026-06-03 08:38:48
2001,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/2001,CAPADR,"COMISSÃO DE AGRICULTURA, PECUÁRIA, ABASTECIMENTO E DESENVOLVIMENTO RURAL","AGRICULTURA, PECUÁRIA, ABASTECIMENTO E DESENVOLVIMENTO RURAL",2,COMISSÃO PERMANENTE,"COMISSÃO DE AGRICULTURA, PECUÁRIA, ABASTECIMENTO E DESENVOLVIMENTO RURAL",AGROPECUÁRIA,81845,2026-06-03 08:38:48
2006,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/2006,CDU,COMISSÃO DE DESENVOLVIMENTO URBANO,DESENVOLVIMENTO URBANO,2,COMISSÃO PERMANENTE,COMISSÃO DE DESENVOLVIMENTO URBANO,DESENVOLVIMENTO URBANO,81847,2026-06-03 08:38:48
2012,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/2012,CME,COMISSÃO DE MINAS E ENERGIA,MINAS E ENERGIA,2,COMISSÃO PERMANENTE,COMISSÃO DE MINAS E ENERGIA,MINAS E ENERGIA,81848,2026-06-03 08:38:48
2015,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/2015,CTRAB,COMISSÃO DE TRABALHO,TRABALHO,2,COMISSÃO PERMANENTE,COMISSÃO DE TRABALHO,TRABALHO,81850,2026-06-03 08:38:48
2010,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/2010,CFT,COMISSÃO DE FINANÇAS E TRIBUTAÇÃO,FINANÇAS E TRIBUTAÇÃO,2,COMISSÃO PERMANENTE,COMISSÃO DE FINANÇAS E TRIBUTAÇÃO,FINANÇAS E TRIBUTAÇÃO,81857,2026-06-03 08:38:48
2009,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/2009,CE,COMISSÃO DE EDUCAÇÃO,EDUCAÇÃO,2,COMISSÃO PERMANENTE,COMISSÃO DE EDUCAÇÃO,EDUCAÇÃO,81862,2026-06-03 08:38:48
