id,uri,sigla,nome,apelido,codTipoOrgao,tipoOrgao,nomePublicacao,nomeResumido,data_captura
100640,https://dadosabertos.camara.leg.br/api/v2/orgaos/100640,MPV43408,"Dispõe sobre a estruturação do Plano de Carreiras e Cargos da Agência Brasileira de Inteligência - ABIN, cria as Carreiras de Oficial de Inteligência, Oficial Técnico de Inteligência, Agente de Inteligência e Agente Técnico de Inteligência, e dá outras providências.",MPV43408,9,Comissão Medida Provisória,MPV43408,,2026-06-01 00:27:13
100642,https://dadosabertos.camara.leg.br/api/v2/orgaos/100642,MPV43508,"Altera a Lei no 10.179, de 6 de fevereiro de 2001, dispõe sobre a utilização do superávit financeiro em 31 de dezembro de 2007, e dá outras providências.",MPV43508,9,Comissão Medida Provisória,MPV43508,,2026-06-01 00:27:13
100643,https://dadosabertos.camara.leg.br/api/v2/orgaos/100643,MPV43608,"Altera as Leis nos 10.833, de 29 de dezembro de 2003, e 11.727, de 23 de junho de 2008, relativamente à incidência do Imposto sobre Produtos Industrializados - IPI, da Contribuição para o PIS/PASEP e da Contribuição para o Financiamento da Seguridade Social - COFINS, incidentes no mercado interno e na importação, sobre produtos dos Capítulos 21 e 22 da Tabela de Incidência do Imposto sobre Produtos Industrializados - TIPI, aprovada pelo Decreto no 6.006, de 28 de dezembro de 2006.",MPV43608,9,Comissão Medida Provisória,MPV43608,,2026-06-01 00:27:13
100645,https://dadosabertos.camara.leg.br/api/v2/orgaos/100645,MPV43708,"Altera as Leis nos 7.853, de 24 de outubro de 1989, 9.650, de 27 de maio 1998, 9.984, de 17 de julho de 2000, e 10.683, de 28 de maio de 2003, dispõe sobre a transformação da Secretaria Especial de Aqüicultura e Pesca da Presidência da República em Ministério da Pesca e Aqüicultura, cria cargos em comissão do Grupo-Direção e Assessoramento Superiores - DAS, Funções Comissionadas do Banco Central - FCBC e Gratificações de Representação da Presidência da República, e dá outras providências.",MPV43708,9,Comissão Medida Provisória,MPV43708,,2026-06-01 00:27:13
100647,https://dadosabertos.camara.leg.br/api/v2/orgaos/100647,MPV43808,"Dispõe sobre medidas tributárias aplicáveis às doações em espécie recebidas por instituições financeiras públicas controladas pela União e destinadas a ações de prevenção, monitoramento e combate ao desmatamento e de promoção da conservação e do uso sustentável das florestas brasileiras.",MPV43808,9,Comissão Medida Provisória,MPV43808,,2026-06-01 00:27:13
100660,https://dadosabertos.camara.leg.br/api/v2/orgaos/100660,MPV43908,Constitui fonte de recursos adicional para ampliação de limites operacionais do Banco Nacional de Desenvolvimento Econômico e Social - BNDES.,MPV43908,9,Comissão Medida Provisória,MPV43908,,2026-06-01 00:27:13
100661,https://dadosabertos.camara.leg.br/api/v2/orgaos/100661,MPV44008,"Dispõe sobre a reestruturação da composição remuneratória das Carreiras de Auditoria da Receita Federal do Brasil e Auditoria-Fiscal do Trabalho, de que trata a Lei n° 10.910, de 15 de julho de 2004; das Carreiras da Área Jurídica, de que trata a Lei n° 11.358, de 19 de outubro de 2006; das Carreiras de Gestão Governamental, de que trata a Medida Provisória n° 2.229-43, de 6 de setembro de 2001; das Carreiras do Banco Central do Brasil - BACEN, de que trata a Lei n° 9.650, de 27 de maio de 1998; e da Carreira de Diplomata, de que trata a Lei n° 11.440, de 29 de dezembro de 2006; cria o Plano de Carreiras e Cargos da SUSEP, o Plano de Carreiras e Cargos da CVM e o Plano de Carreiras e Cargos do IPEA; dispõe sobre a remuneração dos titulares dos cargos de Técnico de Planejamento P-1501 do Gr",MPV44008,9,Comissão Medida Provisória,MPV44008,,2026-06-01 00:27:13
100662,https://dadosabertos.camara.leg.br/api/v2/orgaos/100662,MPV44108,"Dispõe sobre a reestruturação da composição remuneratória das Carreiras de Oficial de Chancelaria e de Assistente de Chancelaria, de que trata o art. 2o da Lei no 11.440, de 29 de dezembro de 2006, da Carreira de Tecnologia Militar, de que trata a Lei no 9.657, de 3 de junho de 1998, dos cargos do Grupo Defesa Aérea e Controle de Tráfego Aéreo - Grupo DACTA, de que trata a Lei no 10.551, de 13 de novembro de 2002, dos empregos públicos do Quadro de Pessoal do Hospital das Forças Armadas - HFA, de que trata a Lei no 10.225, de 15 de maio de 2001, da Carreira de Supervisor Médico-Pericial, de que trata a Lei no 9.620, de 2 de abril de 1998, das Carreiras da Área de Ciência e Tecnologia, de que trata a Lei no 8.691, de 28 de julho de 1993, do Plano de Carreiras de Cargos da FIOCRUZ, de que tr",MPV44108,9,Comissão Medida Provisória,MPV44108,,2026-06-01 00:27:13
100667,https://dadosabertos.camara.leg.br/api/v2/orgaos/100667,MPV44208,"Dispõe sobre operações de redesconto pelo Banco Central do Brasil e autoriza a emissão da Letra de Arrendamento Mercantil - LAM, e dá outras providências",MPV44208,9,Comissão Medida Provisória,MPV44208,,2026-06-01 00:27:13
100677,https://dadosabertos.camara.leg.br/api/v2/orgaos/100677,MPV44308,"Autoriza o Banco do Brasil S.A. e a Caixa Econômica Federal a constituírem subsidiárias e a adquirirem participação em instituições financeiras sediadas no Brasil, e dá outras providências.",MPV44308,9,Comissão Medida Provisória,MPV44308,,2026-06-01 00:27:13
